date,count
1/1/2007,69
1/2/2007,22
1/3/2007,47
1/4/2007,129
1/5/2007,117
1/6/2007,84
1/7/2007,85
1/8/2007,131
1/9/2007,129
1/10/2007,137
1/11/2007,124
1/12/2007,134
1/13/2007,77
1/14/2007,91
1/15/2007,102
1/16/2007,117
1/17/2007,111
1/18/2007,137
1/19/2007,135
1/20/2007,78
1/21/2007,72
1/22/2007,122
1/23/2007,135
1/24/2007,128
1/25/2007,156
1/26/2007,151
1/27/2007,90
1/28/2007,79
1/29/2007,109
1/30/2007,136
1/31/2007,117
2/1/2007,139
2/2/2007,111
2/3/2007,74
2/4/2007,70
2/5/2007,110
2/6/2007,112
2/7/2007,109
2/8/2007,98
2/9/2007,135
2/10/2007,82
2/11/2007,73
2/12/2007,108
2/13/2007,128
2/14/2007,122
2/15/2007,98
2/16/2007,111
2/17/2007,52
2/18/2007,15
2/19/2007,32
2/20/2007,23
2/21/2007,34
2/22/2007,28
2/23/2007,22
2/24/2007,25
2/25/2007,78
2/26/2007,133
2/27/2007,136
2/28/2007,126
3/1/2007,121
3/2/2007,125
3/3/2007,106
3/4/2007,89
3/5/2007,90
3/6/2007,77
3/7/2007,70
3/8/2007,92
3/9/2007,65
3/10/2007,84
3/11/2007,87
3/12/2007,60
3/13/2007,86
3/14/2007,89
3/15/2007,128
3/16/2007,102
3/17/2007,68
3/18/2007,67
3/19/2007,109
3/20/2007,121
3/21/2007,118
3/22/2007,126
3/23/2007,137
3/24/2007,70
3/25/2007,83
3/26/2007,112
3/27/2007,120
3/28/2007,107
3/29/2007,125
3/30/2007,127
3/31/2007,87
4/1/2007,74
4/2/2007,113
4/3/2007,156
4/4/2007,126
4/5/2007,117
4/6/2007,120
4/7/2007,78
4/8/2007,85
4/9/2007,130
4/10/2007,127
4/11/2007,128
4/12/2007,131
4/13/2007,127
4/14/2007,77
4/15/2007,68
4/16/2007,108
4/17/2007,128
4/18/2007,117
4/19/2007,128
4/20/2007,102
4/21/2007,76
4/22/2007,72
4/23/2007,94
4/24/2007,140
4/25/2007,114
4/26/2007,117
4/27/2007,103
4/28/2007,95
4/29/2007,102
4/30/2007,129
5/1/2007,71
5/2/2007,47
5/3/2007,39
5/4/2007,35
5/5/2007,33
5/6/2007,36
5/7/2007,28
5/8/2007,121
5/9/2007,129
5/10/2007,147
5/11/2007,145
5/12/2007,94
5/13/2007,76
5/14/2007,109
5/15/2007,125
5/16/2007,112
