date,epu,count
2007-01-01,0.0,69
2007-01-02,0.0,22
2007-01-03,0.0,47
2007-01-04,0.0,129
2007-01-05,0.0,117
2007-01-06,0.0,84
2007-01-07,0.0,85
2007-01-08,1.0,131
2007-01-09,1.0,129
2007-01-10,0.0,137
2007-01-11,0.0,124
2007-01-12,2.0,134
2007-01-13,0.0,77
2007-01-14,0.0,91
2007-01-15,1.0,102
2007-01-16,0.0,117
2007-01-17,0.0,111
2007-01-18,0.0,137
2007-01-19,0.0,135
2007-01-20,0.0,78
2007-01-21,0.0,72
2007-01-22,3.0,122
2007-01-23,0.0,135
2007-01-24,0.0,128
2007-01-25,0.0,156
2007-01-26,1.0,151
2007-01-27,0.0,90
2007-01-28,0.0,79
2007-01-29,0.0,109
2007-01-30,0.0,136
2007-01-31,1.0,117
2007-02-01,0.0,139
2007-02-02,0.0,111
2007-02-03,0.0,74
2007-02-04,0.0,70
2007-02-05,0.0,110
2007-02-06,2.0,112
2007-02-07,1.0,109
2007-02-08,2.0,98
2007-02-09,0.0,135
2007-02-10,0.0,82
2007-02-11,0.0,73
2007-02-12,1.0,108
2007-02-13,0.0,128
2007-02-14,0.0,122
2007-02-15,0.0,98
2007-02-16,1.0,111
2007-02-17,0.0,52
2007-02-18,0.0,15
2007-02-19,0.0,32
2007-02-20,0.0,23
2007-02-21,0.0,34
2007-02-22,0.0,28
2007-02-23,0.0,22
2007-02-24,0.0,25
2007-02-25,0.0,78
2007-02-26,2.0,133
2007-02-27,1.0,136
2007-02-28,1.0,126
2007-03-01,0.0,121
2007-03-02,0.0,125
2007-03-03,0.0,106
2007-03-04,0.0,89
2007-03-05,1.0,90
2007-03-06,2.0,77
2007-03-07,0.0,70
2007-03-08,0.0,92
2007-03-09,2.0,65
2007-03-10,0.0,84
2007-03-11,0.0,87
2007-03-12,2.0,60
2007-03-13,0.0,86
2007-03-14,0.0,89
2007-03-15,0.0,128
2007-03-16,1.0,102
2007-03-17,0.0,68
2007-03-18,0.0,67
2007-03-19,0.0,109
2007-03-20,3.0,121
2007-03-21,1.0,118
2007-03-22,0.0,126
2007-03-23,1.0,137
2007-03-24,0.0,70
2007-03-25,0.0,83
2007-03-26,0.0,112
2007-03-27,0.0,120
2007-03-28,1.0,107
2007-03-29,0.0,125
2007-03-30,2.0,127
2007-03-31,0.0,87
2007-04-01,0.0,74
2007-04-02,0.0,113
2007-04-03,0.0,156
2007-04-04,1.0,126
2007-04-05,0.0,117
2007-04-06,1.0,120
2007-04-07,0.0,78
2007-04-08,0.0,85
2007-04-09,1.0,130
2007-04-10,0.0,127
2007-04-11,0.0,128
2007-04-12,0.0,131
2007-04-13,1.0,127
2007-04-14,0.0,77
2007-04-15,0.0,68
2007-04-16,1.0,108
2007-04-17,0.0,128
2007-04-18,0.0,117
2007-04-19,0.0,128
2007-04-20,0.0,102
2007-04-21,0.0,76
2007-04-22,0.0,72
2007-04-23,0.0,94
2007-04-24,0.0,140
2007-04-25,2.0,114
2007-04-26,1.0,117
2007-04-27,1.0,103
2007-04-28,1.0,95
2007-04-29,0.0,102
2007-04-30,0.0,129
2007-05-01,0.0,71
2007-05-02,0.0,47
2007-05-03,0.0,39
2007-05-04,0.0,35
2007-05-05,0.0,33
2007-05-06,0.0,36
2007-05-07,0.0,28
2007-05-08,1.0,121
2007-05-09,2.0,129
2007-05-10,1.0,147
2007-05-11,0.0,145
2007-05-12,0.0,94
2007-05-13,0.0,76
2007-05-14,1.0,109
2007-05-15,0.0,125
2007-05-16,1.0,112
2007-05-17,0.0,126
2007-05-18,0.0,121
2007-05-19,0.0,92
2007-05-20,0.0,76
2007-05-21,0.0,125
2007-05-22,0.0,147
2007-05-23,0.0,145
2007-05-24,0.0,131
2007-05-25,0.0,106
2007-05-26,0.0,87
2007-05-27,0.0,84
2007-05-28,1.0,115
2007-05-29,0.0,119
2007-05-30,0.0,135
2007-05-31,0.0,143
2007-06-01,0.0,135
2007-06-02,0.0,85
2007-06-03,0.0,87
2007-06-04,1.0,118
2007-06-05,0.0,132
2007-06-06,1.0,110
2007-06-07,0.0,111
2007-06-08,1.0,112
2007-06-09,0.0,81
2007-06-10,0.0,71
2007-06-11,1.0,128
2007-06-12,0.0,120
2007-06-13,3.0,112
2007-06-14,0.0,145
2007-06-15,0.0,120
2007-06-16,0.0,78
2007-06-17,0.0,76
2007-06-18,0.0,110
2007-06-19,1.0,130
2007-06-20,0.0,120
2007-06-21,1.0,124
2007-06-22,0.0,117
2007-06-23,0.0,88
2007-06-24,0.0,81
2007-06-25,0.0,131
2007-06-26,1.0,89
2007-06-27,0.0,113
2007-06-28,0.0,126
2007-06-29,0.0,129
2007-06-30,1.0,67
2007-07-01,0.0,81
2007-07-02,1.0,107
2007-07-03,2.0,145
2007-07-04,1.0,136
2007-07-05,0.0,147
2007-07-06,1.0,124
2007-07-07,0.0,88
2007-07-08,1.0,66
2007-07-09,0.0,129
2007-07-10,0.0,135
2007-07-11,0.0,122
2007-07-12,1.0,118
2007-07-13,2.0,129
2007-07-14,1.0,90
2007-07-15,0.0,72
2007-07-16,1.0,114
2007-07-17,1.0,113
2007-07-18,1.0,122
2007-07-19,0.0,121
2007-07-20,0.0,120
2007-07-21,0.0,76
2007-07-22,0.0,76
2007-07-23,1.0,115
2007-07-24,1.0,128
2007-07-25,0.0,116
2007-07-26,0.0,121
2007-07-27,1.0,129
