,date,e,epu,tpu,count
0,2019-01-01,8,1,1,28
1,2019-01-02,32,3,3,62
2,2019-01-03,30,3,2,86
3,2019-01-04,28,0,0,72
4,2019-01-05,10,1,0,41
5,2019-01-06,16,0,0,34
6,2019-01-07,33,1,1,84
7,2019-01-08,30,3,0,95
8,2019-01-09,30,1,1,88
9,2019-01-10,35,1,0,87
10,2019-01-11,33,0,0,77
11,2019-01-12,13,0,0,44
12,2019-01-13,17,1,0,40
13,2019-01-14,10,0,0,29
14,2019-01-15,31,1,1,94
15,2019-01-16,36,4,1,88
16,2019-01-17,41,8,1,99
17,2019-01-18,40,3,0,87
18,2019-01-19,14,1,1,33
19,2019-01-20,16,0,0,35
20,2019-01-21,38,3,3,92
21,2019-01-22,35,2,0,98
22,2019-01-23,36,4,3,92
23,2019-01-24,33,0,0,81
24,2019-01-25,37,1,0,86
25,2019-01-26,17,0,0,43
26,2019-01-27,7,0,0,42
27,2019-01-28,28,2,0,85
28,2019-01-29,26,2,0,102
29,2019-01-30,33,0,0,98
30,2019-01-31,33,1,0,112
31,2019-02-01,29,0,0,73
32,2019-02-02,5,1,0,36
33,2019-02-03,13,0,0,44
34,2019-02-04,9,0,0,32
35,2019-02-05,5,0,0,26
36,2019-02-06,3,0,0,31
37,2019-02-07,12,0,0,35
38,2019-02-08,2,0,0,30
39,2019-02-09,8,0,0,28
40,2019-02-10,8,0,0,26
41,2019-02-11,29,0,0,79
42,2019-02-12,30,1,0,100
43,2019-02-13,38,4,3,93
44,2019-02-14,31,1,0,104
45,2019-02-15,35,1,1,98
46,2019-02-16,11,0,0,45
47,2019-02-17,17,0,0,43
48,2019-02-18,24,0,0,97
49,2019-02-19,41,4,4,93
50,2019-02-20,43,0,0,93
51,2019-02-21,33,2,0,103
52,2019-02-22,37,3,0,86
53,2019-02-23,13,0,0,37
54,2019-02-24,14,0,0,39
55,2019-02-25,32,1,1,87
56,2019-02-26,39,4,1,104
57,2019-02-27,39,4,3,94
58,2019-02-28,32,2,0,86
59,2019-03-01,39,2,1,79
60,2019-03-02,8,0,0,45
61,2019-03-03,11,0,0,26
62,2019-03-04,28,0,0,68
63,2019-03-05,33,1,0,93
64,2019-03-06,35,3,2,53
65,2019-03-07,42,0,0,75
66,2019-03-08,40,7,2,77
67,2019-03-09,15,1,1,29
68,2019-03-10,23,1,0,40
69,2019-03-11,35,1,1,69
70,2019-03-12,39,1,1,88
71,2019-03-13,35,0,0,73
72,2019-03-14,28,0,0,60
73,2019-03-15,37,2,1,87
74,2019-03-16,16,2,2,31
75,2019-03-17,18,3,3,39
76,2019-03-18,30,8,7,63
77,2019-03-19,33,1,0,99
78,2019-03-20,42,1,0,103
79,2019-03-21,36,1,1,103
80,2019-03-22,37,3,1,103
81,2019-03-23,15,0,0,52
82,2019-03-24,14,0,0,44
83,2019-03-25,35,4,0,94
84,2019-03-26,32,1,1,118
85,2019-03-27,49,4,4,99
86,2019-03-28,42,7,5,96
87,2019-03-29,33,4,0,97
88,2019-03-30,14,3,3,54
89,2019-03-31,8,0,0,43
90,2019-04-01,38,2,0,103
91,2019-04-02,34,5,0,116
92,2019-04-03,34,1,2,105
93,2019-04-04,35,4,3,113
94,2019-04-05,11,0,0,44
95,2019-04-06,13,1,0,39
96,2019-04-07,13,0,0,44
97,2019-04-08,35,1,0,97
98,2019-04-09,29,1,1,115
99,2019-04-10,38,3,2,102
100,2019-04-11,39,0,0,126
101,2019-04-12,31,0,0,103
102,2019-04-13,25,2,2,55
103,2019-04-14,12,1,1,47
104,2019-04-15,30,3,2,99
105,2019-04-16,35,2,1,113
106,2019-04-17,36,3,2,105
107,2019-04-18,34,4,0,107
108,2019-04-19,32,1,1,93
109,2019-04-20,16,0,0,50
110,2019-04-21,15,0,0,43
111,2019-04-22,26,3,1,87
112,2019-04-23,32,0,0,80
113,2019-04-24,32,3,0,93
114,2019-04-25,30,2,0,74
115,2019-04-26,36,1,1,88
116,2019-04-27,20,3,1,32
117,2019-04-28,19,1,1,30
118,2019-04-29,44,0,0,91
119,2019-04-30,35,1,0,107
120,2019-05-01,11,1,0,34
121,2019-05-02,18,0,0,42
122,2019-05-03,8,0,0,43
123,2019-05-04,12,0,0,41
124,2019-05-05,12,0,0,36
125,2019-05-06,39,1,0,91
126,2019-05-07,37,1,1,106
127,2019-05-08,39,3,1,95
128,2019-05-09,28,0,0,87
129,2019-05-10,36,2,1,99
130,2019-05-11,19,2,0,56
131,2019-05-12,15,0,0,44
132,2019-05-13,35,4,3,79
133,2019-05-14,37,0,0,122
134,2019-05-15,36,2,0,88
135,2019-05-16,36,7,3,88
136,2019-05-17,32,3,2,89
137,2019-05-18,19,3,0,50
138,2019-05-19,19,1,0,47
139,2019-05-20,30,2,2,87
140,2019-05-21,33,1,0,98
141,2019-05-22,35,0,0,86
142,2019-05-23,34,2,0,102
143,2019-05-24,31,4,2,96
144,2019-05-25,22,2,0,50
145,2019-05-26,18,0,0,49
146,2019-05-27,30,2,2,105
147,2019-05-28,34,1,1,125
148,2019-05-29,39,3,0,109
149,2019-05-30,42,2,1,115
150,2019-05-31,53,4,2,98
151,2019-06-01,16,2,2,47
152,2019-06-02,8,0,0,37
153,2019-06-03,36,10,2,91
154,2019-06-04,36,2,1,104
155,2019-06-05,37,4,2,100
156,2019-06-06,36,2,3,99
157,2019-06-07,14,0,0,42
158,2019-06-08,23,1,0,35
159,2019-06-09,19,2,3,42
160,2019-06-10,41,5,4,109
161,2019-06-11,42,2,0,106
162,2019-06-12,36,2,0,100
163,2019-06-13,32,3,4,120
164,2019-06-14,43,4,2,88
165,2019-06-15,28,0,0,41
166,2019-06-16,14,0,0,34
167,2019-06-17,23,1,1,78
168,2019-06-18,36,8,5,101
169,2019-06-19,44,3,1,105
170,2019-06-20,42,1,0,105
171,2019-06-21,36,2,1,94
172,2019-06-22,16,0,0,61
173,2019-06-23,13,2,2,44
174,2019-06-24,30,1,0,83
175,2019-06-25,31,6,6,60
176,2019-06-26,29,13,1,58
177,2019-06-27,43,6,4,92
178,2019-06-28,35,4,2,90
179,2019-06-29,26,7,8,42
180,2019-06-30,20,3,3,43
181,2019-07-01,27,3,3,81
182,2019-07-02,40,3,0,105
183,2019-07-03,43,1,0,105
184,2019-07-04,29,1,1,113
185,2019-07-05,36,3,3,98
186,2019-07-06,16,0,0,54
187,2019-07-07,13,0,0,37
188,2019-07-08,33,4,0,95
189,2019-07-09,44,1,0,94
190,2019-07-10,22,1,0,93
191,2019-07-11,35,1,0,116
192,2019-07-12,39,1,0,115
193,2019-07-13,11,3,3,51
194,2019-07-14,8,0,0,46
195,2019-07-15,34,4,1,98
196,2019-07-16,35,2,1,103
197,2019-07-17,38,4,0,99
198,2019-07-18,28,1,0,82
199,2019-07-19,35,3,0,91
200,2019-07-20,14,0,0,51
201,2019-07-21,18,0,0,45
202,2019-07-22,30,1,1,70
203,2019-07-23,36,2,2,75
204,2019-07-24,33,0,0,68
205,2019-07-25,24,3,1,66
206,2019-07-26,35,2,1,80
207,2019-07-27,17,0,0,52
208,2019-07-28,10,0,0,47
209,2019-07-29,30,3,3,65
210,2019-07-30,34,3,2,76
211,2019-07-31,35,3,1,76
212,2019-08-01,21,0,0,77
213,2019-08-02,29,4,2,65
214,2019-08-03,16,3,2,45
215,2019-08-04,11,2,2,37
216,2019-08-05,29,6,2,65
217,2019-08-06,28,3,1,66
218,2019-08-07,34,4,1,73
219,2019-08-08,27,2,0,69
220,2019-08-09,30,1,0,71
221,2019-08-10,18,1,0,46
222,2019-08-11,9,0,0,42
223,2019-08-12,28,2,2,70
224,2019-08-13,35,4,3,102
225,2019-08-14,39,2,0,96
226,2019-08-15,28,1,0,81
227,2019-08-16,28,0,0,60
228,2019-08-17,17,0,0,47
229,2019-08-18,12,0,0,43
230,2019-08-19,30,0,0,67
231,2019-08-20,33,1,0,77
232,2019-08-21,27,2,0,71
233,2019-08-22,39,2,0,73
234,2019-08-23,29,0,1,72
235,2019-08-24,22,1,0,43
236,2019-08-25,13,2,1,44
237,2019-08-26,34,3,3,69
238,2019-08-27,33,1,1,77
239,2019-08-28,50,4,3,73
240,2019-08-29,29,3,0,96
241,2019-08-30,40,2,1,72
242,2019-08-31,14,0,0,50
243,2019-09-01,11,1,1,41
244,2019-09-02,31,4,1,52
245,2019-09-03,34,1,0,80
246,2019-09-04,32,2,0,65
247,2019-09-05,35,2,0,73
248,2019-09-06,33,5,3,90
249,2019-09-07,17,1,0,47
250,2019-09-08,15,1,0,42
251,2019-09-09,32,2,3,68
252,2019-09-10,30,0,0,67
253,2019-09-11,29,0,0,78
254,2019-09-12,40,3,1,82
255,2019-09-13,14,0,0,39
256,2019-09-14,11,0,0,38
257,2019-09-15,10,1,0,28
258,2019-09-16,30,1,1,52
259,2019-09-17,23,0,0,81
260,2019-09-18,26,4,4,65
261,2019-09-19,35,0,0,74
262,2019-09-20,29,0,0,59
263,2019-09-21,14,0,0,37
264,2019-09-22,8,0,0,38
265,2019-09-23,34,0,0,62
266,2019-09-24,28,0,0,54
267,2019-09-25,30,4,3,57
268,2019-09-26,23,0,0,51
269,2019-09-27,29,3,1,65
270,2019-09-28,28,5,5,53
271,2019-09-29,14,0,0,29
272,2019-09-30,25,3,1,63
273,2019-10-01,14,0,0,50
274,2019-10-02,11,0,0,43
275,2019-10-03,13,0,0,35
276,2019-10-04,12,1,0,34
277,2019-10-05,7,1,1,38
278,2019-10-06,13,0,0,36
279,2019-10-07,9,0,0,33
280,2019-10-08,28,0,0,89
281,2019-10-09,32,2,1,87
282,2019-10-10,36,2,1,91
283,2019-10-11,38,2,1,87
284,2019-10-12,18,0,0,46
285,2019-10-13,15,0,2,39
286,2019-10-14,36,1,0,84
287,2019-10-15,35,2,0,90
288,2019-10-16,40,1,0,92
289,2019-10-17,32,1,0,78
290,2019-10-18,29,2,1,86
291,2019-10-19,14,0,0,38
292,2019-10-20,17,0,0,37
293,2019-10-21,41,1,0,90
294,2019-10-22,37,1,0,96
295,2019-10-23,35,1,0,101
296,2019-10-24,43,0,0,98
297,2019-10-25,33,4,2,103
298,2019-10-26,14,0,0,51
299,2019-10-27,19,1,0,51
300,2019-10-28,34,1,0,90
301,2019-10-29,28,1,1,87
302,2019-10-30,37,1,1,75
303,2019-10-31,43,6,4,92
304,2019-11-01,35,2,0,91
305,2019-11-02,23,1,1,39
306,2019-11-03,20,3,3,35
307,2019-11-04,30,2,1,79
308,2019-11-05,43,6,4,86
309,2019-11-06,37,4,3,66
310,2019-11-07,42,7,4,89
311,2019-11-08,40,1,1,90
312,2019-11-09,19,0,0,43
313,2019-11-10,20,0,0,33
314,2019-11-11,47,3,0,100
315,2019-11-12,42,2,0,90
316,2019-11-13,38,2,2,110
317,2019-11-14,30,0,0,103
318,2019-11-15,40,5,5,95
319,2019-11-16,16,2,2,63
320,2019-11-17,17,0,0,44
321,2019-11-18,37,2,1,83
322,2019-11-19,40,3,2,105
323,2019-11-20,45,1,0,105
324,2019-11-21,30,0,0,108
325,2019-11-22,36,2,2,87
326,2019-11-23,26,3,2,55
327,2019-11-24,14,1,1,46
328,2019-11-25,39,3,1,91
329,2019-11-26,33,1,1,91
330,2019-11-27,41,4,0,114
331,2019-11-28,38,1,1,116
332,2019-11-29,27,0,0,91
333,2019-11-30,13,0,0,49
334,2019-12-26,43,4,4,94
335,2019-12-27,29,1,1,71
336,2019-12-28,9,0,0,34
337,2019-12-29,13,0,0,53
338,2019-12-30,24,2,2,72
339,2019-12-31,37,3,2,88
